status,lat,lng
0,33.5960512267,130.219698653
0,33.5960512,130.219698628
0,33.5960512283,130.219698658
1,33.5960512167,130.219698593
1,33.5960511783,130.219698567
1,33.5960511717,130.219698588
1,33.59605116,130.219698607
1,33.5960511833,130.219698638
1,33.5960512317,130.219698638
1,33.5960512733,130.219698643
1,33.59605134,130.219698772
1,33.5960514083,130.21969893
1,33.5960514717,130.219699135
1,33.5960515133,130.219699277
1,33.5960515117,130.219699373
1,33.5960514733,130.219699397
1,33.596051445,130.219699423
1,33.5960514167,130.219699418
1,33.5960514183,130.21969937
1,33.5960514083,130.21969937
1,33.5960513833,130.219699272
1,33.5960513383,130.219699117
1,33.59605123,130.219698958
1,33.5960510917,130.219698795
1,33.5960508617,130.2196984
1,33.5960506367,130.219697977
1,33.59605044,130.219697588
1,33.5960502933,130.219697202
1,33.5960501633,130.219696888
1,33.5960501317,130.219696732
1,33.5960502183,130.21969679
1,33.5960504683,130.219697043
1,33.5960509817,130.21969563
1,33.5960535133,130.21966578
1,33.5960540383,130.219663423
1,33.59605343,130.219676572
1,33.5960530567,130.219686333
1,33.5960528217,130.219692162
1,33.5960526217,130.219696747
1,33.59605314,130.2196925
1,33.5960537317,130.219688627
1,33.5960545133,130.219682403
1,33.5960544917,130.219687283
1,33.59605456,130.219689983
1,33.5960547583,130.219691913
1,33.5960550333,130.219690922
1,33.5960551133,130.219691088
1,33.59605487,130.219693358
1,33.5960545417,130.219695773
1,33.5960541533,130.219698207
1,33.5960535483,130.219700487
1,33.5960529917,130.219703058
1,33.5960523433,130.219705683
1,33.5960515717,130.219708408
1,33.59605084,130.219711505
1,33.59605012,130.219714473
1,33.59604929,130.219717747
1,33.59604838,130.219720982
1,33.5960474183,130.219724535
1,33.59604648,130.21972824
1,33.5960455067,130.219731838
1,33.5960444233,130.219735803
1,33.5960433483,130.219739808
1,33.596042415,130.219743835
1,33.596041115,130.219748032
1,33.5960399567,130.21975191
1,33.59603884,130.219755742
0,33.5960378217,130.219746883
0,33.59603762,130.219744993
0,33.5959621517,130.219788583
0,33.5959700267,130.219755055
0,33.5959762467,130.219695425
0,33.5959770217,130.219689598
0,33.595977855,130.21968417
0,33.5959786833,130.219678393
0,33.5959793767,130.219672795
0,33.5959799767,130.219667848
0,33.5959802967,130.219662868
0,33.5959807617,130.219658972
0,33.5959807117,130.219655342
0,33.595980915,130.219651792
0,33.5959808467,130.219648585
0,33.5959809,130.219645872
0,33.5959806233,130.219643258
0,33.59598038,130.219641052
0,33.5959798683,130.219638897
0,33.5959794217,130.219637
0,33.59597878,130.21963534
0,33.595978105,130.219633765
0,33.5959773333,130.21963192
1,33.5959794633,130.21962409
