field.status.status,field.latitude,field.longitude
1,33.5954740883,130.2190993
1,33.5954741067,130.219099295
1,33.5954741417,130.219099253
1,33.5954741367,130.219099242
1,33.5954741467,130.219099253
1,33.5954741083,130.219099272
1,33.5954740967,130.219099273
1,33.5954741467,130.219099245
1,33.5954741267,130.219099287
1,33.595474125,130.219099383
1,33.5954741583,130.219099455
1,33.5954741667,130.219099495
1,33.5954741117,130.219099543
1,33.5954739583,130.219099628
1,33.5954737783,130.219099848
1,33.5954735317,130.219100288
1,33.595473185,130.219100853
1,33.5954728117,130.219101508
1,33.5954724717,130.21910205
1,33.5954720883,130.219102537
1,33.5954716783,130.219103013
1,33.59547111,130.219103582
1,33.5954705533,130.219104082
1,33.59547011,130.219104573
1,33.5954696867,130.219105238
1,33.5954692383,130.219105925
1,33.5954687833,130.219106647
1,33.59546837,130.219107357
1,33.5954678717,130.219108015
1,33.5954673333,130.219108618
1,33.5954667833,130.219109183
1,33.5954662617,130.219109667
1,33.595465745,130.21911023
1,33.5954652767,130.219110903
1,33.5954647967,130.219111628
1,33.5954643217,130.219112368
1,33.5954638083,130.219113132
1,33.595463305,130.219113843
1,33.59546271,130.219114628
1,33.5954621383,130.21911544
1,33.595461495,130.219116225
1,33.5954609417,130.21911707
1,33.5954603,130.219117958
1,33.5954597183,130.219118868
1,33.5954590867,130.21911969
1,33.595458495,130.21912041
1,33.59545788,130.21912111
1,33.595457235,130.219121815
1,33.5954565583,130.21912258
1,33.59545588,130.219123423
1,33.5954551533,130.219124305
1,33.5954543967,130.219125132
1,33.5954537033,130.219126013
1,33.59545302,130.219126877
1,33.595452405,130.219127723
1,33.59545176,130.219128507
1,33.5954511633,130.219129298
1,33.59545055,130.219130117
1,33.5954499483,130.21913089
1,33.5954492717,130.21913168
1,33.5954486533,130.219132495
1,33.59544802,130.219133278
1,33.595447405,130.219134045
1,33.5954467067,130.219134893
1,33.5954459383,130.219135642
1,33.595445285,130.219136393
1,33.59544457,130.219137182
