field.status.status,field.latitude,field.longitude
1,33.5954695568,130.219091031
1,33.595469572,130.219090914
1,33.5954695794,130.219090987
1,33.5954695848,130.219091013
1,33.5954695843,130.219091196
1,33.5954695937,130.219091052
1,33.5954696065,130.219091297
1,33.5954696137,130.219091273
1,33.5954695914,130.219091431
1,33.5954695984,130.219091421
1,33.5954696004,130.219091469
1,33.5954695955,130.219091504
1,33.5954695761,130.219091564
1,33.5954695777,130.219091553
1,33.5954695399,130.219091789
1,33.5954695421,130.219091817
1,33.5954695395,130.219091817
1,33.5954695483,130.219091906
1,33.5954695732,130.219091957
1,33.5954695891,130.219091951
1,33.5954695602,130.219091924
1,33.595469514,130.219091772
1,33.5954694606,130.219091728
1,33.5954693698,130.219091728
1,33.5954692871,130.219091786
1,33.5954692218,130.219091884
1,33.5954691521,130.219091972
1,33.5954690308,130.219092205
1,33.5954688752,130.21909236
1,33.5954686963,130.219092702
1,33.5954684857,130.219093054
1,33.595468271,130.219093399
1,33.5954680881,130.219093686
1,33.5954679284,130.219094023
1,33.5954677441,130.219094629
1,33.5954675591,130.219095205
1,33.5954673939,130.219095554
1,33.5954672689,130.219095786
1,33.5954671565,130.219095998
1,33.5954670501,130.219096208
1,33.5954669116,130.219096502
1,33.5954667593,130.219096706
1,33.5954665318,130.219096983
1,33.5954662855,130.219097331
1,33.5954660423,130.219097668
1,33.5954657993,130.219098206
1,33.5954655562,130.219098661
1,33.5954653407,130.219099179
1,33.595465139,130.219099688
1,33.5954649564,130.219099935
1,33.5954647999,130.21910016
1,33.5954646104,130.219100449
1,33.5954643997,130.219100735
1,33.5954641143,130.219101123
1,33.5954638313,130.219101742
1,33.5954635724,130.21910222
1,33.59546332,130.219102597
1,33.5954630985,130.219103018
1,33.595462887,130.219103349
1,33.5954626845,130.219103529
1,33.5954624473,130.219103774
1,33.5954621851,130.219103903
1,33.5954618682,130.219104214
1,33.5954615698,130.219104598
1,33.5954612447,130.219104847
1,33.5954608704,130.219105472
1,33.5954605183,130.219105903
1,33.5954602538,130.219106303
1,33.5954599592,130.219106613
1,33.5954596414,130.219107146
1,33.5954593565,130.219107813
1,33.5954590907,130.219108947
1,33.5954587923,130.219109845
1,33.5954585696,130.219110252
1,33.5954583916,130.219110441
1,33.5954581386,130.219110753
1,33.5954578866,130.219111076
1,33.5954576003,130.219111208
1,33.595457256,130.219111353
1,33.5954569177,130.219111701
1,33.5954572373,130.219115213
1,33.595456863,130.219115653
1,33.5954565927,130.219116119
1,33.5954563141,130.219116501
1,33.5954560341,130.219116779
1,33.5954557903,130.219117183
1,33.5954555062,130.21911786
1,33.5954552031,130.219118498
1,33.5954549231,130.219119184
1,33.5954546263,130.219119843
1,33.5954543661,130.219120398
1,33.5954541165,130.219120791
1,33.5954538365,130.219121179
1,33.5954534652,130.21912131
1,33.5954530433,130.21912172
1,33.5954526305,130.219122037
1,33.5954521834,130.219122063
1,33.5954517863,130.219122506
1,33.5954514388,130.219123102
1,33.5954511442,130.219123737
1,33.5954508058,130.219124173
1,33.5954504564,130.219124728
1,33.5954501805,130.219125429
1,33.5954498969,130.219125949
1,33.5954495522,130.219126392
1,33.5954492825,130.21912691
1,33.5954489802,130.219127328
1,33.5954486266,130.219127637
1,33.5954482297,130.219127972
1,33.5954478237,130.219128502
1,33.5954474016,130.219128747
1,33.5954470227,130.219129103
1,33.5954465837,130.219129404
1,33.5954462028,130.219129818
1,33.5954458707,130.219130229
1,33.5954455463,130.219130564
1,33.5954452855,130.219131063
