field.status.status,field.latitude,field.longitude
1,33.5955285846,130.218910359
1,33.5955286064,130.218910329
1,33.5955286259,130.218910215
1,33.5955286492,130.218910102
1,33.5955286417,130.218910086
1,33.5955285577,130.218910185
1,33.5955285125,130.218910332
1,33.5955284745,130.218910411
1,33.5955284778,130.218910556
1,33.5955284538,130.218910695
1,33.5955284445,130.218910738
1,33.5955284523,130.218910722
1,33.59552843,130.218910737
1,33.5955284397,130.218910578
1,33.5955284579,130.2189105
1,33.5955284738,130.218910474
1,33.5955284615,130.218910453
1,33.5955284741,130.21891041
1,33.5955284832,130.21891038
1,33.5955284773,130.218910256
1,33.5955284772,130.218910205
1,33.5955285055,130.218910128
1,33.5955285319,130.21891009
1,33.5955285674,130.218910034
1,33.595528602,130.218909965
1,33.5955286276,130.218909911
1,33.59552865,130.218909864
1,33.5955286574,130.218909782
1,33.5955286958,130.218909647
1,33.5955287069,130.218909618
1,33.59552872,130.218909611
1,33.5955287382,130.218909503
1,33.5955287532,130.218909463
1,33.5955288056,130.218909364
1,33.5955288213,130.218909337
1,33.5955288029,130.21890934
1,33.5955287984,130.218909338
1,33.5955288146,130.218909259
1,33.5955288209,130.218909237
1,33.5955288268,130.218909186
1,33.5955288446,130.218909211
1,33.5955288383,130.218909257
1,33.5955288374,130.218909174
1,33.5955288248,130.218909115
1,33.5955288234,130.21890914
1,33.5955288026,130.218909107
1,33.5955288206,130.218909072
1,33.5955288327,130.218909048
1,33.5955288418,130.218909064
1,33.5955288255,130.218909149
1,33.5955287929,130.218909228
1,33.5955287684,130.218909269
1,33.5955287579,130.218909359
1,33.5955287432,130.21890945
1,33.5955287415,130.218909449
1,33.5955285753,130.218909623
1,33.5955284444,130.21890987
1,33.5955283554,130.218910093
1,33.5955283036,130.218910285
1,33.5955282777,130.218910483
1,33.5955282797,130.218910626
1,33.595528261,130.218910755
1,33.5955282438,130.218910815
1,33.5955282282,130.218910806
1,33.5955281955,130.218910794
1,33.5955281671,130.218910788
1,33.5955281086,130.218910763
1,33.5955280707,130.218910711
1,33.5955280109,130.218910682
1,33.59552794,130.218910752
