field.status.status,field.latitude,field.longitude
1,33.595462725,130.219112827
1,33.59546272,130.219112877
1,33.595462715,130.21911295
1,33.595462715,130.219112987
1,33.5954627017,130.219112952
1,33.595462695,130.219112895
1,33.595462675,130.219112883
1,33.595462645,130.219112887
1,33.595462625,130.219112897
1,33.595462725,130.219112872
1,33.595462625,130.219112955
1,33.5954624483,130.219113068
1,33.5954622417,130.21911313
1,33.5954621567,130.219113163
1,33.5954623467,130.219113143
1,33.5954626267,130.219113105
1,33.5954628033,130.219113102
1,33.5954628183,130.21911302
1,33.5954628483,130.219112917
1,33.5954628833,130.219112787
1,33.5954630117,130.219112698
1,33.59546314,130.219112748
1,33.5954630767,130.219112767
1,33.5954630283,130.219112777
1,33.5954630117,130.219112777
1,33.5954629617,130.219112902
1,33.595462735,130.219113085
1,33.595462425,130.219113277
1,33.5954621617,130.219113495
1,33.5954620333,130.219113617
1,33.595461965,130.219113727
1,33.5954617567,130.219114015
1,33.5954614933,130.219114637
1,33.5954614333,130.21911535
1,33.595461365,130.219115913
1,33.5954614767,130.219116397
1,33.5954617933,130.219116922
1,33.5954621867,130.219117647
1,33.5954626167,130.219118765
1,33.59546305,130.219119945
1,33.5954634283,130.219120938
1,33.59546404,130.219121608
1,33.5954648267,130.219122195
1,33.595465715,130.219122628
1,33.5954666467,130.21912304
1,33.5954676133,130.219123613
1,33.5954686633,130.219124332
1,33.5954696867,130.219125015
1,33.5954708017,130.219125553
1,33.5954719133,130.219125907
1,33.595473105,130.219126287
1,33.5954742683,130.21912656
1,33.59547545,130.219126938
1,33.595476705,130.219127507
1,33.5954779117,130.219128117
1,33.5954791567,130.219128602
1,33.5954803067,130.21912909
1,33.5954813817,130.219129397
1,33.5954823333,130.219129722
1,33.595483245,130.21913025
1,33.5954842717,130.219130882
1,33.59548531,130.21913156
1,33.59548633,130.219131923
1,33.59548725,130.219131997
1,33.5954881033,130.219132008
1,33.5954889617,130.219132082
1,33.5954898167,130.21913219
1,33.5954907367,130.219132392
1,33.5954918133,130.219132475
1,33.5954929033,130.219132585
1,33.5954939917,130.219132512
1,33.595495025,130.219132335
1,33.5954959617,130.219132047
